OBJECTID	NAME	TYPE	OSM_ID	COMMUNE	SECTION	E1000	N1000	GZD	GRID100K	MGRS
1436	Abraham	village	617765981	GRAND-GOAVE	TETE A BOUF	31	37	18Q	YF	18Q YF 3137
945	Abricot	village	616721343	ANSE-A-GALET	GRAND LAGON	9	85	18Q	YF	18Q YF 0985
854	Abricot	village	616679706	L'AZILE	TOURNADE	62	32	18Q	XF	18Q XF 6232
1751	Abricot	village	617913124	ABRICOTS	BALISIER	73	60	18Q	WF	18Q WF 7360
1777	Acul du Nord	village	618028176	ACUL DU NORD	BAS DE L'ACUL	79	78	18Q	YG	18Q YG 7978
357	Adieu au Monde	locality	614861227	MARIGOT	SAVANE DUBOIS	93	17	18Q	YF	18Q YF 9317
1059	Administration Générale des Contributions	collapsed	48277944	PORT-AU-PRINCE	TURGEAU	80	52	18Q	YF	18Q YF 8052
40	Administration Générale des Postes	 	48279462	PORT-AU-PRINCE	TURGEAU	80	53	18Q	YF	18Q YF 8053
43	Administration Portuaire	 	48279469	PORT-AU-PRINCE	TURGEAU	80	53	18Q	YF	18Q YF 8053
1707	Adonis	hamlet	617885449	AQUIN	FONDS DES BLANCS	94	24	18Q	XF	18Q XF 9424
528	Adventist Church	place_of_worship	617335621	OUANAMINTHE	HAUT MARIBAHOUX	13	64	19Q	BB	19Q BB 1364
144	Air Haiti	 	48492349	DELMAS	BELLEVUE	85	56	18Q	YF	18Q YF 8556
11	Albert-Schweitzer Hôpital	hospital	615075433	VERRETTES	BELANGER	63	10	18Q	YG	18Q YG 6310
1353	Aliome	locality	617433541	PETIT-GOAVE	TROU CANARI	19	34	18Q	YF	18Q YF 1934
664	Alma Mater	hospital	618158369	GROS MORNE	RIVIERE BLANCHE	43	76	18Q	YG	18Q YG 4376
54	ALPHA	works	48285105	DELMAS	ST. MARTIN	81	53	18Q	YF	18Q YF 8153
632	AM Radio Station	tower	617927229	CAP HAITIEN	HAUT DU CAP	93	88	18Q	YG	18Q YG 9388
287	Ambassade de Bolivie	embassy	615766621	PETION-VILLE	BELLEVUE CHARD	85	49	18Q	YF	18Q YF 8549
1060	Ambassade de France	collapsed	48277948	PORT-AU-PRINCE	TURGEAU	81	51	18Q	YF	18Q YF 8151
290	Ambassade de la République dominicaine	embassy	615803458	PETION-VILLE	BELLEVUE CHARD	85	49	18Q	YF	18Q YF 8549
6	Ambassade d'Espagne	embassy	48274603	PORT-AU-PRINCE	TURGEAU	81	50	18Q	YF	18Q YF 8150
291	Ambassade d'Israël	embassy	615814066	PETION-VILLE	BELLEVUE CHARD	85	50	18Q	YF	18Q YF 8550
288	Ambassade du Brésil	embassy	615778621	PETION-VILLE	BELLEVUE CHARD	87	49	18Q	YF	18Q YF 8749
55	Ambassade du Canada	embassy	48285107	DELMAS	ST. MARTIN	82	53	18Q	YF	18Q YF 8253
289	Ambassade du Chili	embassy	615789134	PORT-AU-PRINCE	TURGEAU	85	51	18Q	YF	18Q YF 8551
292	Ambassade du Mexique	embassy	615819938	PORT-AU-PRINCE	TURGEAU	85	51	18Q	YF	18Q YF 8551
